,T_hr,amplitude_km,phase_hr,offset_km,slope_kmph,r2,T_hr_guess,selected
2017-01-17,3.1496581199890317,19.811686976890805,0.724759091284604,22.22348293279843,-1.2016684395496267,0.3387855866488034,3.0,False
2017-01-17,3.1499334015006593,19.81132842347879,-2.4235696707538374,22.21667550668327,-1.2012565903759933,0.338785586479463,4.0,False
2017-01-17,1.1609675890464555,9.552262918372687,3.103506915144803,-31.48212439743996,1.5633771029331107,0.09353564115162571,1.0,False
2017-01-18,1.618362497178794,36.76895003360014,0.8605870234274153,6.430905682498365,-0.4068952174998493,0.3270801285373568,1.5,True
2017-01-18,1.6184887652191828,36.76786491191432,-3.9934824911242934,6.419158829255706,-0.4062233339194462,0.32708012414440646,2.0,False
2017-01-18,3.1653983591705996,29.33412259877819,1.3801667491440477,29.281452392492586,-1.6474482512250122,0.20018707371193845,3.0,False
2017-01-18,3.1654014079739947,29.334126491664918,-1.7852139678057053,29.28123738867894,-1.6474376967517992,0.2001870733795652,3.5,False
2017-01-18,3.1652741548895373,29.334162237500994,4.544714489587431,29.28362474044931,-1.6475301568776461,0.2001870728394365,2.5,False
2017-01-18,3.1655357124142482,29.33392200015797,-1.7846511524532147,29.28363098203791,-1.647599325883023,0.2001870612476223,4.0,False
2017-01-18,1.0635280570325751,11.72394380177712,0.690153658848068,10.883302475770922,-0.5264328722559222,0.03383219324445086,1.0,False
2017-01-19,3.33595863876765,48.78816373562648,2.119267663407361,49.60031202449041,-2.7701571955558206,0.5581230474110928,3.0,True
2017-01-19,3.336026779456244,48.78815167663994,-1.2163612711940535,49.591300584976494,-2.7696634956916424,0.5581230472876311,3.5,False
2017-01-19,3.335939664301264,48.78816695692374,5.455096569343925,49.60282124270226,-2.7702946740415593,0.5581230465596738,2.5,False
2017-01-19,1.9051334700319105,32.608389865849546,-0.05997205554296088,22.06676147999836,-1.0894263054415636,0.25409043839773227,2.0,False
2017-01-19,1.9049846496173035,32.60732331722706,5.653450971662602,22.034699854982826,-1.0877111388743064,0.2540904355235084,1.5,False
2017-01-19,0.9431584134293273,4.516445963965409,-0.659968450927383,25.238517955510737,-1.2723832431527526,0.010007708738180687,1.0,False
2017-01-19,5.282280455489839,2.021658463849125e-05,5.5745799859679,-9.553365154740508,0.6299353477744724,-0.006118341914106651,4.0,False
2017-01-20,3.861491231267631,33.45323842462542,1.231215980548374,-114.55162863465547,5.734445752379971,0.6614575801423737,3.5,True
2017-01-20,3.861488169083202,33.45323169462703,16.677155148429804,-114.55118348565011,5.734421406314284,0.661457579961702,2.5,False
2017-01-20,3.8618872650849903,33.45352239929245,1.2332745609261224,-114.60451611935977,5.737200491804631,0.6614575792947099,4.0,False
2017-01-20,3.8614573487328876,33.45321080951343,16.676870995705258,-114.54707841445116,5.73420790979075,0.661457579094589,2.0,False
2017-01-20,3.8614426220420164,33.45320048098989,5.092410136807456,-114.54517914996387,5.734108971967044,0.6614575784806849,3.0,False
